RECORD_ID,VIOLATION_CATEGORY,VIOLATION,REPORTED_DATE,RECORD_STATUS,STATUS_DATE,PARCEL_NBR,STREET_NBR,STREET_DIR,STREET_NAME,STREET_TYPE,ZIP,FID
CE-16-03840,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-381-023.000-026,231,E,DONALD,St,46613,894
CE-16-03649,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-09-18-157-015.000-026,1115,E,INDIANA,Ave,46614,895
CE-16-03805,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Closed,2016-06-29T04:00:00.000Z,71-08-02-154-013.000-026,1002,,LAWNDALE,Ave,46628,896
CE-16-03841,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-328-019.000-026,317,E,DUBAIL,Ave,46613,897
CE-16-03650,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Closed,2016-05-11T04:00:00.000Z,71-08-13-402-006.000-026,622,E,INDIANA,Ave,46613,898
CE-16-03443,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-03-255-001.000-026,1016,N,OLIVE,St,46613,899
CE-16-03806,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-09-18-378-003.000-026,1434,E,CALVERT,St,46613,900
CE-16-03842,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-11-329-002.000-026,1228,,GRACE,St,46619,901
CE-16-03650,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Closed,2016-05-11T04:00:00.000Z,71-08-13-402-006.000-026,622,W,INDIANA,Ave,46613,902
CE-16-03807,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Completed By Owner,2016-05-13T04:00:00.000Z,71-08-03-103-007.000-026,1326,,GOODLAND,Ave,46628,903
